#	Query配置表									
#	Id		ImagePath	Query	Answer1	Answer2	Answer3	Answer4	TrueAnswer	AnswerTitle
#	int		string	string	string	string	string	string	int	string
#	问题编号	备注	（可能的）图片路径	标签内容	回答1	回答2	回答3	回答4	正确答案	正确答案提示
	1			カプチーノにはどんな原料が使われていますか?	牛乳	クリーム	チョコレートシロップ	砂糖	1	カプチーノ的配方由エスプレッソ、低泡牛奶构成，其中低泡牛奶由牛奶制作而成。
	2			次の成分のうち、モカコーヒーに使用されていないのはどれですか?	牛乳	クリーム	チョコレートシロップ	コーヒー豆	2	冰摩卡的配方由エスプレッソ、低泡牛奶、巧克力酱、冰构成，其中低泡牛奶由牛奶制作而成。
	3			次のコーヒーのうち、ブレンダーを必要とせずに作られているものはどれですか?	ラテ	カプチーノ	モカ	海塩	1	以上的四种咖啡中カプチーノ、摩卡、海盐咖啡都使用了低泡牛奶，低泡牛奶的制作则需要使用搅拌器。而ラテ仅需要将牛奶和咖啡混合即可制作。
	4			ウィーンのコーヒーはなぜウィーンのコーヒーと呼ばれるのですか?	コーヒーはオスマン帝国で生まれましたが、ウィーンで最も人気があります	コーヒーはウィーンで生まれ、ウィーンで最も人気があります	伝説によると、コーヒーを試飲した後、ウィーン大公がそれを非常に気に入ったため、名前が付けられました	コーヒーは当初、常にウィーンのホイップクリームを使用していました	2	维也纳咖啡的名字与维也纳的咖啡文化密切相关。维也纳是欧洲著名的咖啡文化中心之一，早在17世纪，咖啡馆就已经成为维也纳社会生活的重要组成部分。这些咖啡馆不仅是享用咖啡的地方，也是社交、讨论艺术和政治的场所。
	5			ゲームには何種類のコーヒーがありますか? (アイスコーヒーは2回カウントされません)	8	9	10	12	3	游戏中一共收录了10种咖啡，包括：エスプレッソ、アメリカーノ、ラテ、カプチーノ、康宝蓝、欧蕾、维也纳、摩卡、玛奇朵、海盐咖啡
	6			コーヒー決済時に収益を押し上げることができるのは、アリスのどの属性ですか?	体格	知恵	魅力	上記のすべて	3	爱丽丝一共有3种属性值，其中魅力等级可以提高咖啡结算时的收入
	7			アリスの属性のうち、制作フェーズの全体的な時間を延長できるのはどれですか?	体格	知恵	魅力	上記のすべて	1	爱丽丝一共有3种属性值，其中体魄等级可以延长制作阶段整体的时间
	8			アリスのどの属性がコーヒーを作るのにかかる時間を短縮できますか?	体格	知恵	魅力	上記のすべて	2	爱丽丝一共有3种属性值，其中智慧等级可以减少咖啡制作时的时间
	9			次のホットバージョンとコールドバージョンのコーヒーのうち、氷以外に異なるレシピがあるのはどれですか?	カプチーノ	アメリカーノ	オレ	コンパナ	2	アメリカーノ咖啡在游戏中冰版本使用的是冷水，而热版本使用的是热水，非常合理吧
	10			次のコーヒー飲料のうち、エスプレッソとミルクの混合物から作られているものはどれですか?	カプチーノ	ラテ	モカ	オレ	2	ラテ（Latte）在意大利语中意为“牛奶”，这种饮品由エスプレッソ和大量热牛奶制成，通常在顶部加一层薄薄的奶泡。
	11			コーヒー文化の発祥の地はどこの国ですか?	エチオピア	イタリア	ブラジル	コロンビア	1	埃塞俄比亚被认为是咖啡的发源地，咖啡树最早在这里被发现，并且咖啡在当地文化中占有重要地位。
