#,块类型,块序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_SeaEnd,,,,,,,,,,,
,2,1000,0,0,0,0,0,0,0,0,0,0,0,nightSea,0
,4,1001,0,0,0,0,0,0,0,0,0,0,0,BGM/waves_bgm,0
,0,1002,0,0,0,0,0,0,0,0,0,4,,大海，无边无际,0
,0,1003,0,0,0,0,0,0,0,0,0,4,,潮汐去了又来，来了又去,0
,0,1004,0,0,0,0,0,0,0,0,0,4,,镇上的日常就像这个海滩上的潮汐一样,0
,0,1005,0,0,0,0,0,0,0,0,0,4,,恒定不变,0
,0,1006,0,0,0,0,0,0,0,0,0,4,,这也或许从一个方面揭示了这个镇子名字的意义吧,0
,0,1007,0,0,0,0,0,0,0,0,0,4,,月光照亮了面前的沙滩，显出了一地不同于白天的皎洁白沙,0
,0,1008,0,0,0,0,0,0,0,0,0,4,,尽管今晚有烟火大会，但是由于镇子本身人就比较少,0
,0,1009,0,0,0,0,0,0,0,0,0,4,,我跟爱丽丝得以在海滩中找到一个宽阔无人的地方观看,0
,0,1010,0,0,0,0,0,0,0,0,0,4,,如果是S市的话,0
,0,1011,0,0,0,0,0,0,0,0,0,4,,海滩上估计已经全被人和小商贩灌满了吧,0
,0,1012,0,0,0,0,0,0,0,0,0,4,,从这一点出发来看我倒是很喜欢我家乡的,0
,0,1013,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,店长......？,0
,0,1014,0,0,0,CatSw,0,0,0,0,0,4,我,啊，抱歉爱丽丝，刚刚在想一些事情,0
,0,1015,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,爱丽丝穿着白天我从学姐处买来的泳装，坐在我旁边,0
,0,1016,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,店长...在想些什么呢？,0
,0,1017,0,0,0,CatSw,0,0,0,0,0,4,我,......在想着我们,0
,0,1018,0,0,0,CatSw,0,0,0,0,0,4,我,我们的小镇，和这片，属于我们小镇的海滩,0
,0,1019,0,0,0,CatSw,0,0,0,0,0,4,我,潮汐镇...这个小镇的生活就如同她的名字一样,0
,0,1020,0,0,0,CatSw,0,0,0,0,0,4,我,来来去去，一成不变,0
,0,1021,0,0,0,CatSw,0,0,0,0,0,4,我,我在想着，这种一成不变究竟好不好,0
,0,1022,0,0,0,CatSw,0,0,0,0,0,4,我,外面的世界日新月异，我们的小镇却一成不变,0
,0,1023,0,0,0,CatSw,0,0,0,0,0,4,我,多少有些惆怅吧,0
,0,1024,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,......店长,0
,0,1025,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,...我不觉得，小镇的不变是坏事哦,0
,0,1026,0,0,0,CatSw,0,0,0,0,0,4,我,爱丽丝...?,0
,0,1027,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,爱丽丝站了起来，对着我说,0
,0,1028,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,我啊，是从别的地方来到这里的,0
,0,1029,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,那个地方充满了我不想回忆的东西,0
,0,1030,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,但潮汐镇不同，这个地方，很温暖,0
,0,1031,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,虽然一成不变，虽然有点无聊,0
,0,1032,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,但是真的很温暖,0
,0,1033,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,潮汐一如既往地来来去去，但是她用自己，一成不变的拍打着站在沙滩上的我们,0
,0,1034,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,给我们带来温暖惬意的感受，温暖着我们的心灵,0
,0,1035,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,店长...小镇不变的，是她的温暖哦,0
,0,1036,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,我觉得，小镇是可以接受新事物的，这方面，他不是固执的,0
,0,1037,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,相反，我感觉，这种温暖，或许也是小镇在这百年间，能够坚持下来的核心哦,0
,0,1038,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,......抱...抱歉...我才刚到没几天...就对店长的家乡作出评价了,0
,0,1039,0,0,0,CatSw,0,0,0,0,0,4,爱丽丝,我是不是，太...,0
,0,1040,0,0,0,0,0,0,0,0,0,4,我,没有哦...,0
,0,1041,0,0,0,0,0,0,0,0,0,4,,.......,0
,0,1042,0,0,0,0,0,0,0,0,0,4,,以前的我，总觉得小镇的人接受不了新鲜事物,0
,0,1043,0,0,0,0,0,0,0,0,0,4,,但却从没注意到，他们在遇到这些事物后的开放态度，与温暖问候,0
,0,1044,0,0,0,0,0,0,0,0,0,4,,我总以一种居高临下的态度面对着镇子与镇民们,0
,0,1045,0,0,0,0,0,0,0,0,0,4,,但本质上，只是我在用这个东西作为幌子，掩盖我的内心的懦弱罢了，那个曾经，从S市逃回来来的我,0
,0,1046,0,0,0,0,0,0,0,0,0,4,,小镇正在以自己的方式接受这“外来的我”,0
,0,1047,0,0,0,0,0,0,0,0,0,4,,而我也应该，主动做点什么,0
,0,1048,0,0,0,0,0,0,0,0,0,4,我,谢谢你，爱丽丝....,0
,0,1049,0,0,0,CatSw,1,2,0,0,0,4,爱丽丝,欸？,0
,0,1050,0,0,0,0,0,0,0,0,0,4,爱丽丝,爱丽丝一下子别过了身去,0
,3,1051,0,0,0,0,0,0,0,0,0,4,,......,0
,3,1052,0,0,0,0,0,0,0,0,0,4,,店长...店长快看，烟花准备放了！,0
,4,1053,0,0,0,0,0,0,0,0,0,4,0,BGM/waves_piano_bgm,0
,5,1054,0,0,0,0,0,0,Swimsuit_1,0,1,4,0,LoveAndFamily_2,0
,0,1055,0,0,0,0,0,0,0,0,0,4,,话音刚落，打上花火,0
,0,1056,0,0,0,0,0,0,0,0,0,4,,我们点燃了自己的烟花,0
,0,1057,0,0,0,0,0,0,0,0,0,4,,海岸的上空被焰火的光芒照亮,0
,0,1058,0,0,0,0,0,0,0,0,0,4,,焰火照耀下的我们，享受着小镇带来的无上馈赠,0
