#,块类型,块序号,序号,角色ID（左）,角色差分（左）,角色动效（左）,角色ID（中）,角色差分（中）,角色动效（中）,角色ID（右）,角色差分（右）,角色动效（右）,高亮显示,角色名称（左）,文本,跳转
#,int,int,int,string,int,int,string,int,int,string,int,int,int,string,string,connent
,,,,Chapter_01-00,,,,,,,,,,,,
,2,1,1,,,,,,,,0,0,4,,Street,0
,0,2,1,,,,,,,,,,4,我,潮汐镇。,0
,0,2,2,,,,,,,,,,4,我,我在这座小镇出生，在这座小镇长大。,0
,0,2,3,,,,,,,,,,4,我,小镇的风景我再熟悉不过，每一片街道，每一座房屋。,0
,2,3,1,,,,,,,,1,2,0,,Sea,0
,0,4,1,,,,,,,,,,4,我,还有小镇名字由来的海滩。,0
,0,4,2,,,,,,,,,,4,我,【宁静，安稳，祥和，美丽】便是我这么多年对小镇的总结。,0
,0,4,3,,,,,,,,,,4,我,这种安宁的生活一度让我乐在其中，对我的未来感到一片光明。,0
,0,4,4,,,,,,,,,,4,我,我能顺顺利利的实现我的梦想，走向富足的成功的人生。,0
,2,5,1,,,,,,,,1,2,0,,Street,0
,0,6,1,,,,,,,,,,4,我,直到我考到外市的大学。,0
,0,6,2,,,,,,,,,,4,我,我看着他们穿着那样的服装，居住在那些华丽的楼房。,0
,0,6,3,,,,,,,,,,4,我,我看着他们用我没见过的物品，畅谈我从未听过的话题。,0
,0,6,4,,,,,,,,,,4,我,那一天，我才意识到，原来我才是那个没见过市面的人。,0
,0,6,5,,,,,,,,,,4,我,原来外面的世界是这个样子的，原来小镇不是什么风水宝地，神仙居所。,0
,0,6,6,,,,,,,,,,4,我,它只是个失去了年轻人的破败小城罢了。,0
,0,6,7,,,,,,,,,,4,我,而我，我开始不知道之前的人生都是些什么了，我的价值观世界观已经全部被颠覆，不由得开始怀疑自己。,0
,0,6,8,,,,,,,,,,4,我,我询问我自己过去的人生到底是什么，也因此陷入了迷茫。,0
,0,6,9,,,,,,,,,,4,我,【我们原来不是同样生活在一个世界里的啊】这样的想法一直伴随着我。,0
,0,6,10,,,,,,,,,,4,我,这种疏离感在我心中发芽，生长，膨胀。,0
,0,6,11,,,,,,,,,,4,我,即便大学生活草草过去，这种感觉也未削减半分，我不论是跟着同学还是朋友，只要出门便会感到恶寒。,0
,0,6,12,,,,,,,,,,4,我,我不论干什么都觉得会被别人评为【没见识】。这让我开始怀疑自己是否真的适合在这种地方继续待着。,0
,2,7,1,,,,,,,,1,2,0,,Market,0
,0,8,1,,,,,,,,,,4,我,所以最后我还是回到了小镇，我逃跑了。,0
,0,8,2,,,,,,,,,,4,我,就当是受够了提心吊胆的人生，哪怕这些是我自己的被害妄想。,0
,0,8,3,,,,,,,,,,4,我,我还是不愿意再过那样的日子。,0
,0,8,4,,,,,,,,,,4,我,但在那些时光里，还是有【咖啡】这种令我感兴趣的东西存在。,0
,0,8,5,,,,,,,,,,4,我,之前在镇上只是听说过，还没真的尝过。这次上大学之后才算是开了眼。,0
,0,8,6,,,,,,,,,,4,我,苦涩，微酸，但是醇香，顺滑。就像那座城市带给我的感觉。,0
,0,8,7,,,,,,,,,,4,我,上学的时候我找了个附近还算有名的咖啡馆打工，也学了不少相关的知识，希望能在这饮料上面找到我自己的人生。,0
,2,9,1,,,,,,,,1,2,0,,Afternoon,0
,0,10,1,,,,,,,,,,4,我,回到小镇之后，我和家里人商量了一下，在商店街那边成立了我自己的咖啡馆。,0
,0,10,2,,,,,,,,,,4,我,镇上没尝过的滋味，我也想带回去。,0
